Instruction,Location,isSizeVerified,isCC,Parameters,,,
add,Instructions/add.bsh.java,1,0,2,r/r512/m,r/r512/m/i,
push,Instructions/push.bsh.java,1,0,1,r16/r32/m16/m32/m64/i/l,,
xor,Instructions/xor.bsh.java,1,0,2,r/m,r/m/i,
mov,Instructions/mov.bsh.java,1,0,2,r/m/r512,r/r512/m/i,
printf,Instructions/printf.bsh.java,1,0,0,,,
scanf,Instructions/scanf.bsh.java,1,0,0,,,
loop,Instructions/loop.bsh.java,3,0,1,l,,
daddiu,Instructions/daddiu.bsh.java,1,0,3,r64,r64,i,
daddu,Instructions/daddu.bsh.java,1,0,3,r64,r64,r64,
bnez,Instructions/bnez.bsh.java,3,0,3,r64,r64,l,
dsubu,Instructions/dsubu.bsh.java,1,0,3,r64,r64,r64,
